Name: XWEB300
Device: WATERMETER_20131001
Time	M1_Daily	M1_Weekly	M1_Monthly	M1_Yearly	Ground Water Meter Total (L)	M1_Avr_Daily	M1_Avr_Weekly	M1_Avr_Monthly	M1_Avr_Yearly	BH1@25m (1-3)	BH1@50m (1-4)	BH1@50m (1-5) - u/s	BH1@25m (1-6) - u/s	Ipro_Probe_5	Ipro_Probe_6	
23/07/2016 00.19.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.24.59	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.30.02	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.35.24	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.40.38	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.45.39	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.50.53	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.55.57	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.01.16	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.06.25	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.11.32	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.16.58	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.22.15	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.27.26	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      59.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.32.36	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.37.52	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.43.14	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.48.27	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.53.50	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.04.10	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.09.11	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.14.19	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.19.45	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.24.47	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.30.03	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.35.10	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.40.29	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.45.41	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.50.44	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.55.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.01.17	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.06.31	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.11.33	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.16.35	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.21.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.27.02	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.32.08	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.37.08	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.42.24	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.47.43	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.52.54	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.58.12	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.03.28	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.08.49	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.14.03	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.19.14	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.24.24	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.29.25	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.34.35	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.39.42	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.44.43	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.49.48	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.54.57	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.00.00	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.05.11	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.10.22	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.15.34	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.20.53	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.25.59	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.31.11	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.36.19	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.41.22	      2800	      2800	      9394	     14710	     36878	     11369	     11981	     25486	     10854	     100.3	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.46.44	      2960	      2960	      9554	     14870	     37038	     11369	     11981	     25486	     10854	     100.3	      58.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.51.58	      2960	      2960	      9554	     14870	     37038	     11369	     11981	     25486	     10854	     100.3	      57.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 05.57.14	      3030	      3030	      9624	     14940	     37108	     11369	     11981	     25486	     10854	     100.3	      57.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.02.38	      3190	      3190	      9784	     15100	     37268	     11369	     11981	     25486	     10854	     100.3	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.07.51	      3330	      3330	      9924	     15240	     37408	     11369	     11981	     25486	     10854	     100.3	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.12.52	      3330	      3330	      9924	     15240	     37408	     11369	     11981	     25486	     10854	     100.3	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.18.03	      3410	      3410	     10004	     15320	     37488	     11369	     11981	     25486	     10854	     100.3	      57.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.23.23	      3570	      3570	     10164	     15480	     37648	     11369	     11981	     25486	     10854	     100.3	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.28.43	      3730	      3730	     10324	     15640	     37808	     11369	     11981	     25486	     10854	     100.2	      57.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.33.54	      3890	      3890	     10484	     15800	     37968	     11369	     11981	     25486	     10854	     100.2	      57.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.38.54	      4040	      4040	     10634	     15950	     38118	     11369	     11981	     25486	     10854	     100.2	      57.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.44.18	      4200	      4200	     10794	     16110	     38278	     11369	     11981	     25486	     10854	     100.1	      56.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.49.29	      4340	      4340	     10934	     16250	     38418	     11369	     11981	     25486	     10854	     100.1	      56.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.54.37	      4340	      4340	     10934	     16250	     38418	     11369	     11981	     25486	     10854	     100.1	      56.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 06.59.57	      4420	      4420	     11014	     16330	     38498	     11369	     11981	     25486	     10854	     100.1	      57.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.05.01	      4580	      4580	     11174	     16490	     38658	     11369	     11981	     25486	     10854	     100.1	      57.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.10.06	      4690	      4690	     11284	     16600	     38768	     11369	     11981	     25486	     10854	     100.1	      56.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.15.10	      4690	      4690	     11284	     16600	     38768	     11369	     11981	     25486	     10854	     100.1	      57.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.20.30	      4790	      4790	     11384	     16700	     38868	     11369	     11981	     25486	     10854	     100.1	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.25.33	      4940	      4940	     11534	     16850	     39018	     11369	     11981	     25486	     10854	     100.1	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.30.34	      5040	      5040	     11634	     16950	     39118	     11369	     11981	     25486	     10854	     100.0	      57.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.35.47	      5040	      5040	     11634	     16950	     39118	     11369	     11981	     25486	     10854	     100.0	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.40.47	      5150	      5150	     11744	     17060	     39228	     11369	     11981	     25486	     10854	     100.0	      57.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.46.07	      5310	      5310	     11904	     17220	     39388	     11369	     11981	     25486	     10854	     100.0	      59.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.51.22	      5350	      5350	     11944	     17260	     39428	     11369	     11981	     25486	     10854	     100.0	      59.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 07.56.30	      5370	      5370	     11964	     17280	     39448	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.01.36	      5520	      5520	     12114	     17430	     39598	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.06.38	      5680	      5680	     12274	     17590	     39758	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.12.01	      5760	      5760	     12354	     17670	     39838	     11369	     11981	     25486	     10854	     100.0	      59.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.17.10	      5760	      5760	     12354	     17670	     39838	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.22.13	      5890	      5890	     12484	     17800	     39968	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.27.26	      6020	      6020	     12614	     17930	     40098	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.32.43	      6020	      6020	     12614	     17930	     40098	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.37.51	      6110	      6110	     12704	     18020	     40188	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.42.53	      6260	      6260	     12854	     18170	     40338	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.47.58	      6410	      6410	     13004	     18320	     40488	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.53.04	      6450	      6450	     13044	     18360	     40528	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 08.58.10	      6470	      6470	     13064	     18380	     40548	     11369	     11981	     25486	     10854	     100.0	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.03.21	      6630	      6630	     13224	     18540	     40708	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.08.35	      6780	      6780	     13374	     18690	     40858	     11369	     11981	     25486	     10854	     100.0	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.13.48	      6820	      6820	     13414	     18730	     40898	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.18.56	      6840	      6840	     13434	     18750	     40918	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.24.18	      7010	      7010	     13604	     18920	     41088	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.29.41	      7070	      7070	     13664	     18980	     41148	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.34.49	      7070	      7070	     13664	     18980	     41148	     11369	     11981	     25486	     10854	     100.0	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.40.17	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.45.25	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.50.27	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 09.55.45	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.00.55	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.06.03	      7190	      7190	     13784	     19100	     41268	     11369	     11981	     25486	     10854	     100.0	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.11.10	      7220	      7220	     13814	     19130	     41298	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.16.10	      7220	      7220	     13814	     19130	     41298	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.21.36	      7220	      7220	     13814	     19130	     41298	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.27.00	      7380	      7380	     13974	     19290	     41458	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.32.01	      7420	      7420	     14014	     19330	     41498	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.37.16	      7420	      7420	     14014	     19330	     41498	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.42.18	      7530	      7530	     14124	     19440	     41608	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.47.20	      7530	      7530	     14124	     19440	     41608	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.52.39	      7550	      7550	     14144	     19460	     41628	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 10.57.53	      7710	      7710	     14304	     19620	     41788	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.02.53	      7780	      7780	     14374	     19690	     41858	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.08.10	      7780	      7780	     14374	     19690	     41858	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.13.24	      7920	      7920	     14514	     19830	     41998	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.18.36	      7920	      7920	     14514	     19830	     41998	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.23.45	      7950	      7950	     14544	     19860	     42028	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.28.47	      7950	      7950	     14544	     19860	     42028	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.33.50	      7950	      7950	     14544	     19860	     42028	     11369	     11981	     25486	     10854	     100.0	      59.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.38.56	      8010	      8010	     14604	     19920	     42088	     11369	     11981	     25486	     10854	     100.0	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.44.19	      8130	      8130	     14724	     20040	     42208	     11369	     11981	     25486	     10854	     100.0	      59.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.49.35	      8130	      8130	     14724	     20040	     42208	     11369	     11981	     25486	     10854	     100.0	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.54.53	      8140	      8140	     14734	     20050	     42218	     11369	     11981	     25486	     10854	     100.0	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 11.59.56	      8160	      8160	     14754	     20070	     42238	     11369	     11981	     25486	     10854	     100.0	      57.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.05.04	      8160	      8160	     14754	     20070	     42238	     11369	     11981	     25486	     10854	     100.0	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.10.30	      8200	      8200	     14794	     20110	     42278	     11369	     11981	     25486	     10854	     100.0	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.15.30	      8320	      8320	     14914	     20230	     42398	     11369	     11981	     25486	     10854	     100.0	      57.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.20.54	      8320	      8320	     14914	     20230	     42398	     11369	     11981	     25486	     10854	     100.0	      57.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.25.57	      8370	      8370	     14964	     20280	     42448	     11369	     11981	     25486	     10854	     100.0	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.31.22	      8370	      8370	     14964	     20280	     42448	     11369	     11981	     25486	     10854	     100.0	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.36.35	      8370	      8370	     14964	     20280	     42448	     11369	     11981	     25486	     10854	     100.0	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.41.36	      8440	      8440	     15034	     20350	     42518	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.46.48	      8500	      8500	     15094	     20410	     42578	     11369	     11981	     25486	     10854	     100.1	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.52.03	      8500	      8500	     15094	     20410	     42578	     11369	     11981	     25486	     10854	     100.1	      58.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 12.57.05	      8530	      8530	     15124	     20440	     42608	     11369	     11981	     25486	     10854	     100.1	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.02.12	      8530	      8530	     15124	     20440	     42608	     11369	     11981	     25486	     10854	     100.1	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.07.19	      8530	      8530	     15124	     20440	     42608	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.12.32	      8630	      8630	     15224	     20540	     42708	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.17.47	      8740	      8740	     15334	     20650	     42818	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.23.03	      8740	      8740	     15334	     20650	     42818	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.28.06	      8770	      8770	     15364	     20680	     42848	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.33.20	      8820	      8820	     15414	     20730	     42898	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.38.25	      8820	      8820	     15414	     20730	     42898	     11369	     11981	     25486	     10854	     100.1	      57.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.43.38	      8880	      8880	     15474	     20790	     42958	     11369	     11981	     25486	     10854	     100.1	      57.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.48.46	      8960	      8960	     15554	     20870	     43038	     11369	     11981	     25486	     10854	     100.1	      57.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.53.55	      8960	      8960	     15554	     20870	     43038	     11369	     11981	     25486	     10854	     100.1	      57.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 13.59.05	      9000	      9000	     15594	     20910	     43078	     11369	     11981	     25486	     10854	     100.1	      57.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.04.27	      9000	      9000	     15594	     20910	     43078	     11369	     11981	     25486	     10854	     100.1	      57.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.09.45	      9000	      9000	     15594	     20910	     43078	     11369	     11981	     25486	     10854	     100.1	      57.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.14.52	      9090	      9090	     15684	     21000	     43168	     11369	     11981	     25486	     10854	     100.1	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.20.09	      9220	      9220	     15814	     21130	     43298	     11369	     11981	     25486	     10854	     100.1	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.25.13	      9220	      9220	     15814	     21130	     43298	     11369	     11981	     25486	     10854	     100.1	      58.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.30.15	      9220	      9220	     15814	     21130	     43298	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.35.31	      9250	      9250	     15844	     21160	     43328	     11369	     11981	     25486	     10854	     100.1	      58.3	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.40.38	      9250	      9250	     15844	     21160	     43328	     11369	     11981	     25486	     10854	     100.1	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.45.42	      9250	      9250	     15844	     21160	     43328	     11369	     11981	     25486	     10854	     100.1	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.50.49	        80	      9340	     15934	     21250	     43418	     11330	     11981	     25486	     10854	     100.1	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 14.56.14	       230	      9490	     16084	     21400	     43568	     11330	     11981	     25486	     10854	     100.1	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 15.01.15	       230	      9490	     16084	     21400	     43568	     11330	     11981	     25486	     10854	     100.1	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 15.06.21	       230	      9490	     16084	     21400	     43568	     11330	     11981	     25486	     10854	     100.1	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 15.11.30	       230	      9490	     16084	     21400	     43568	     11330	     11981	     25486	     10854	     100.1	      58.8	     106.8	       0.0	       0.0	       0.0	
